ano,nome_municipio,n
2018,Cantagalo,13
2019,Cantagalo,11
2020,Cantagalo,15
2021,Cantagalo,8
2022,Cantagalo,10
2023,Cantagalo,10
2024,Cantagalo,11
2010,Carapebus,6
2011,Carapebus,8
2012,Carapebus,5
2013,Carapebus,4
2014,Carapebus,8
2015,Carapebus,8
2016,Carapebus,7
2017,Carapebus,7
2018,Carapebus,9
2019,Carapebus,4
2020,Carapebus,3
2021,Carapebus,2
2022,Carapebus,4
2023,Carapebus,2
2024,Carapebus,6
2010,Cardoso Moreira,14
2011,Cardoso Moreira,7
2012,Cardoso Moreira,9
2013,Cardoso Moreira,4
2014,Cardoso Moreira,9
2015,Cardoso Moreira,2
2016,Cardoso Moreira,8
2017,Cardoso Moreira,7
2018,Cardoso Moreira,7
2019,Cardoso Moreira,10
2020,Cardoso Moreira,15
2021,Cardoso Moreira,13
2022,Cardoso Moreira,10
2023,Cardoso Moreira,2
2024,Cardoso Moreira,8
2010,Carmo,20
2011,Carmo,15
2012,Carmo,16
2013,Carmo,20
2014,Carmo,10
2015,Carmo,12
2016,Carmo,8
2017,Carmo,9
2018,Carmo,13
2019,Carmo,15
2020,Carmo,11
2021,Carmo,15
2022,Carmo,8
2023,Carmo,12
2024,Carmo,12
2010,Casimiro de Abreu,16
2011,Casimiro de Abreu,22
2012,Casimiro de Abreu,16
2013,Casimiro de Abreu,21
2014,Casimiro de Abreu,16
2015,Casimiro de Abreu,14
2016,Casimiro de Abreu,14
2017,Casimiro de Abreu,28
2018,Casimiro de Abreu,11
2019,Casimiro de Abreu,13
2020,Casimiro de Abreu,14
2021,Casimiro de Abreu,13
2022,Casimiro de Abreu,11
2023,Casimiro de Abreu,17
2024,Casimiro de Abreu,25
2010,Comendador Levy Gasparian,4
2011,Comendador Levy Gasparian,7
2012,Comendador Levy Gasparian,3
2013,Comendador Levy Gasparian,4
2014,Comendador Levy Gasparian,4
2015,Comendador Levy Gasparian,10
2016,Comendador Levy Gasparian,8
2017,Comendador Levy Gasparian,6
2018,Comendador Levy Gasparian,4
2019,Comendador Levy Gasparian,3
2020,Comendador Levy Gasparian,5
2021,Comendador Levy Gasparian,5
2022,Comendador Levy Gasparian,6
2023,Comendador Levy Gasparian,4
2024,Comendador Levy Gasparian,7
2010,Conceição de Macabu,15
2011,Conceição de Macabu,7
2012,Conceição de Macabu,9
2013,Conceição de Macabu,11
2014,Conceição de Macabu,14
2015,Conceição de Macabu,5
2016,Conceição de Macabu,13
2017,Conceição de Macabu,11
2018,Conceição de Macabu,11
2019,Conceição de Macabu,10
2020,Conceição de Macabu,10
2021,Conceição de Macabu,11
2022,Conceição de Macabu,4
2023,Conceição de Macabu,15
2024,Conceição de Macabu,11
2010,Cordeiro,11
2011,Cordeiro,13
2012,Cordeiro,10
2013,Cordeiro,20
2014,Cordeiro,15
2015,Cordeiro,10
2016,Cordeiro,22
2017,Cordeiro,22
2018,Cordeiro,9
2019,Cordeiro,10
2020,Cordeiro,3
2021,Cordeiro,13
2022,Cordeiro,13
2023,Cordeiro,15
2024,Cordeiro,4
2010,Duas Barras,10
2011,Duas Barras,4
2012,Duas Barras,5
2013,Duas Barras,5
2014,Duas Barras,9
2015,Duas Barras,3
2016,Duas Barras,4
2017,Duas Barras,9
2018,Duas Barras,4
2019,Duas Barras,2
2020,Duas Barras,7
2021,Duas Barras,9
2022,Duas Barras,6
2023,Duas Barras,5
2024,Duas Barras,4
2010,Duque de Caxias,572
2011,Duque de Caxias,547
2012,Duque de Caxias,517
2013,Duque de Caxias,507
2014,Duque de Caxias,461
2015,Duque de Caxias,431
2016,Duque de Caxias,487
2017,Duque de Caxias,468
2018,Duque de Caxias,515
2019,Duque de Caxias,458
2020,Duque de Caxias,507
2021,Duque de Caxias,582
2022,Duque de Caxias,606
2023,Duque de Caxias,612
2024,Duque de Caxias,590
2010,Engenheiro Paulo de Frontin,9
2011,Engenheiro Paulo de Frontin,11
2012,Engenheiro Paulo de Frontin,7
2013,Engenheiro Paulo de Frontin,13
2014,Engenheiro Paulo de Frontin,7
2015,Engenheiro Paulo de Frontin,8
2016,Engenheiro Paulo de Frontin,7
2017,Engenheiro Paulo de Frontin,11
2018,Engenheiro Paulo de Frontin,8
2019,Engenheiro Paulo de Frontin,3
2020,Engenheiro Paulo de Frontin,10
2021,Engenheiro Paulo de Frontin,5
2022,Engenheiro Paulo de Frontin,13
2023,Engenheiro Paulo de Frontin,9
2024,Engenheiro Paulo de Frontin,4
2010,Guapimirim,23
2011,Guapimirim,29
2012,Guapimirim,32
2013,Guapimirim,30
2014,Guapimirim,27
2015,Guapimirim,19
2016,Guapimirim,26
2017,Guapimirim,23
2018,Guapimirim,30
2019,Guapimirim,24
2020,Guapimirim,39
2021,Guapimirim,37
2022,Guapimirim,41
2023,Guapimirim,46
2024,Guapimirim,38
2010,Ignorado/ausente,19
2011,Ignorado/ausente,42
2012,Ignorado/ausente,21
2013,Ignorado/ausente,23
2014,Ignorado/ausente,26
2015,Ignorado/ausente,14
2016,Ignorado/ausente,18
2017,Ignorado/ausente,12
2018,Ignorado/ausente,11
2019,Ignorado/ausente,14
2020,Ignorado/ausente,24
2021,Ignorado/ausente,24
2022,Ignorado/ausente,13
2023,Ignorado/ausente,16
2024,Ignorado/ausente,15
2010,Iguaba Grande,17
2011,Iguaba Grande,13
2012,Iguaba Grande,13
2013,Iguaba Grande,20
2014,Iguaba Grande,18
2015,Iguaba Grande,16
2016,Iguaba Grande,13
2017,Iguaba Grande,15
2018,Iguaba Grande,10
2019,Iguaba Grande,10
2020,Iguaba Grande,15
2021,Iguaba Grande,26
2022,Iguaba Grande,12
2023,Iguaba Grande,15
2024,Iguaba Grande,26
2010,Itaboraí,123
2011,Itaboraí,120
2012,Itaboraí,120
2013,Itaboraí,103
2014,Itaboraí,110
2015,Itaboraí,121
2016,Itaboraí,136
2017,Itaboraí,136
2018,Itaboraí,153
2019,Itaboraí,124
2020,Itaboraí,112
2021,Itaboraí,137
2022,Itaboraí,180
2023,Itaboraí,150
2024,Itaboraí,134
2010,Itaguaí,63
2011,Itaguaí,48
2012,Itaguaí,70
2013,Itaguaí,63
2014,Itaguaí,50
2015,Itaguaí,71
2016,Itaguaí,78
2017,Itaguaí,64
2018,Itaguaí,75
2019,Itaguaí,72
2020,Itaguaí,59
2021,Itaguaí,65
2022,Itaguaí,75
2023,Itaguaí,79
2024,Itaguaí,86
2010,Italva,5
2011,Italva,7
2012,Italva,10
2013,Italva,7
2014,Italva,9
2015,Italva,10
2016,Italva,10
2017,Italva,9
2018,Italva,7
2019,Italva,7
2020,Italva,11
2021,Italva,3
2022,Italva,11
2023,Italva,7
2024,Italva,3
2010,Itaocara,23
2011,Itaocara,37
2012,Itaocara,24
2013,Itaocara,16
2014,Itaocara,20
2015,Itaocara,11
2016,Itaocara,26
2017,Itaocara,21
2018,Itaocara,13
2019,Itaocara,14
2020,Itaocara,13
2021,Itaocara,16
2022,Itaocara,16
2023,Itaocara,14
2024,Itaocara,18
2010,Itaperuna,66
2011,Itaperuna,57
2012,Itaperuna,62
2013,Itaperuna,80
2014,Itaperuna,76
2015,Itaperuna,65
2016,Itaperuna,64
2017,Itaperuna,59
2018,Itaperuna,57
2019,Itaperuna,59
2020,Itaperuna,49
2021,Itaperuna,52
2022,Itaperuna,45
2023,Itaperuna,70
2024,Itaperuna,64
2010,Itatiaia,17
2011,Itatiaia,15
2012,Itatiaia,15
2013,Itatiaia,19
2014,Itatiaia,13
2015,Itatiaia,8
2016,Itatiaia,17
2017,Itatiaia,15
2018,Itatiaia,20
2019,Itatiaia,10
2020,Itatiaia,16
2021,Itatiaia,16
2022,Itatiaia,13
2023,Itatiaia,14
2024,Itatiaia,20
2010,Japeri,40
2011,Japeri,48
2012,Japeri,47
2013,Japeri,43
2014,Japeri,36
2015,Japeri,43
2016,Japeri,42
2017,Japeri,39
2018,Japeri,23
2019,Japeri,39
2020,Japeri,52
2021,Japeri,40
2022,Japeri,46
2023,Japeri,34
2024,Japeri,39
2010,Laje do Muriaé,5
2011,Laje do Muriaé,7
2012,Laje do Muriaé,5
2013,Laje do Muriaé,5
2014,Laje do Muriaé,2
2015,Laje do Muriaé,7
2016,Laje do Muriaé,5
2017,Laje do Muriaé,6
2018,Laje do Muriaé,6
2019,Laje do Muriaé,3
2020,Laje do Muriaé,7
2021,Laje do Muriaé,11
2022,Laje do Muriaé,5
2023,Laje do Muriaé,4
2024,Laje do Muriaé,3
2010,Macaé,78
2011,Macaé,79
2012,Macaé,85
2013,Macaé,75
2014,Macaé,75
2015,Macaé,80
2016,Macaé,102
2017,Macaé,93
2018,Macaé,76
2019,Macaé,116
2020,Macaé,84
2021,Macaé,78
2022,Macaé,93
2023,Macaé,100
2024,Macaé,100
2010,Macuco,4
2011,Macuco,7
2012,Macuco,2
2013,Macuco,6
2014,Macuco,4
2015,Macuco,3
2016,Macuco,4
2017,Macuco,6
2018,Macuco,5
2019,Macuco,5
2020,Macuco,4
2021,Macuco,7
2022,Macuco,5
2023,Macuco,2
2024,Macuco,5
2010,Magé,169
2011,Magé,190
2012,Magé,174
2013,Magé,156
2014,Magé,189
2015,Magé,160
2016,Magé,187
2017,Magé,168
2018,Magé,170
2019,Magé,146
2020,Magé,143
2021,Magé,168
2022,Magé,157
2023,Magé,130
2024,Magé,147
2010,Mangaratiba,22
2011,Mangaratiba,20
2012,Mangaratiba,20
2013,Mangaratiba,11
2014,Mangaratiba,14
2015,Mangaratiba,14
2016,Mangaratiba,27
2017,Mangaratiba,23
2018,Mangaratiba,23
2019,Mangaratiba,24
2020,Mangaratiba,28
2021,Mangaratiba,25
2022,Mangaratiba,22
2023,Mangaratiba,20
2024,Mangaratiba,25
2010,Maricá,96
2011,Maricá,87
2012,Maricá,73
2013,Maricá,63
2014,Maricá,62
2015,Maricá,72
2016,Maricá,100
2017,Maricá,91
2018,Maricá,76
2019,Maricá,98
2020,Maricá,107
2021,Maricá,122
2022,Maricá,114
2023,Maricá,129
2024,Maricá,112
2010,Mendes,12
2011,Mendes,20
2012,Mendes,12
2013,Mendes,19
2014,Mendes,19
2015,Mendes,16
2016,Mendes,15
2017,Mendes,11
2018,Mendes,14
2019,Mendes,17
2020,Mendes,10
2021,Mendes,13
2022,Mendes,8
2023,Mendes,11
2024,Mendes,16
2010,Mesquita,113
2011,Mesquita,117
2012,Mesquita,104
2013,Mesquita,112
2014,Mesquita,84
2015,Mesquita,103
2016,Mesquita,95
2017,Mesquita,106
2018,Mesquita,120
2019,Mesquita,93
2020,Mesquita,91
2021,Mesquita,94
2022,Mesquita,120
2023,Mesquita,125
2024,Mesquita,101
2010,Miguel Pereira,21
2011,Miguel Pereira,34
2012,Miguel Pereira,17
2013,Miguel Pereira,19
2014,Miguel Pereira,21
2015,Miguel Pereira,16
2016,Miguel Pereira,25
2017,Miguel Pereira,17
2018,Miguel Pereira,22
2019,Miguel Pereira,20
2020,Miguel Pereira,19
2021,Miguel Pereira,24
2022,Miguel Pereira,17
2023,Miguel Pereira,13
2024,Miguel Pereira,25
2010,Miracema,17
2011,Miracema,11
2012,Miracema,19
2013,Miracema,20
2014,Miracema,20
2015,Miracema,12
2016,Miracema,14
2017,Miracema,11
2018,Miracema,12
2019,Miracema,16
2020,Miracema,13
2021,Miracema,14
2022,Miracema,12
2023,Miracema,14
2024,Miracema,20
2010,Natividade,15
2011,Natividade,18
2012,Natividade,11
2013,Natividade,17
2014,Natividade,11
2015,Natividade,12
2016,Natividade,13
2017,Natividade,8
2018,Natividade,9
2019,Natividade,14
2020,Natividade,9
2021,Natividade,14
2022,Natividade,12
2023,Natividade,9
2024,Natividade,6
2010,Nilópolis,126
2011,Nilópolis,100
2012,Nilópolis,102
2013,Nilópolis,105
2014,Nilópolis,105
2015,Nilópolis,116
2016,Nilópolis,90
2017,Nilópolis,108
2018,Nilópolis,98
2019,Nilópolis,90
2020,Nilópolis,81
2021,Nilópolis,103
2022,Nilópolis,87
2023,Nilópolis,104
2024,Nilópolis,92
2010,Niterói,304
2011,Niterói,287
2012,Niterói,310
2013,Niterói,316
2014,Niterói,276
2015,Niterói,237
2016,Niterói,268
2017,Niterói,298
2018,Niterói,309
2019,Niterói,313
2020,Niterói,337
2021,Niterói,320
2022,Niterói,334
2023,Niterói,292
2024,Niterói,313
2010,Nova Friburgo,122
2011,Nova Friburgo,119
2012,Nova Friburgo,117
2013,Nova Friburgo,154
2014,Nova Friburgo,129
2015,Nova Friburgo,92
2016,Nova Friburgo,105
2017,Nova Friburgo,118
2018,Nova Friburgo,126
2019,Nova Friburgo,116
2020,Nova Friburgo,115
2021,Nova Friburgo,105
2022,Nova Friburgo,109
2023,Nova Friburgo,99
2024,Nova Friburgo,114
2010,Nova Iguaçu,461
2011,Nova Iguaçu,492
2012,Nova Iguaçu,461
2013,Nova Iguaçu,467
2014,Nova Iguaçu,457
2015,Nova Iguaçu,439
2016,Nova Iguaçu,423
2017,Nova Iguaçu,436
2018,Nova Iguaçu,458
2019,Nova Iguaçu,439
2020,Nova Iguaçu,454
2021,Nova Iguaçu,448
2022,Nova Iguaçu,491
2023,Nova Iguaçu,452
2024,Nova Iguaçu,448
2010,Paracambi,47
2011,Paracambi,33
2012,Paracambi,28
2013,Paracambi,25
2014,Paracambi,23
2015,Paracambi,45
2016,Paracambi,45
2017,Paracambi,33
2018,Paracambi,30
2019,Paracambi,23
2020,Paracambi,26
2021,Paracambi,43
2022,Paracambi,28
2023,Paracambi,23
2024,Paracambi,23
2010,Paraíba do Sul,34
2011,Paraíba do Sul,28
2012,Paraíba do Sul,26
2013,Paraíba do Sul,25
2014,Paraíba do Sul,27
2015,Paraíba do Sul,9
2016,Paraíba do Sul,31
2017,Paraíba do Sul,28
2018,Paraíba do Sul,26
2019,Paraíba do Sul,37
2020,Paraíba do Sul,29
2021,Paraíba do Sul,27
2022,Paraíba do Sul,25
2023,Paraíba do Sul,22
2024,Paraíba do Sul,23
2010,Paraty,16
2011,Paraty,11
2012,Paraty,16
2013,Paraty,15
2014,Paraty,17
2015,Paraty,15
2016,Paraty,26
2017,Paraty,15
2018,Paraty,24
2019,Paraty,18
2020,Paraty,15
2021,Paraty,21
2022,Paraty,21
2023,Paraty,18
2024,Paraty,28
2010,Paty do Alferes,12
2011,Paty do Alferes,14
2012,Paty do Alferes,24
2013,Paty do Alferes,25
2014,Paty do Alferes,15
2015,Paty do Alferes,18
2016,Paty do Alferes,23
2017,Paty do Alferes,25
2018,Paty do Alferes,20
2019,Paty do Alferes,15
2020,Paty do Alferes,18
2021,Paty do Alferes,23
2022,Paty do Alferes,11
2023,Paty do Alferes,21
2024,Paty do Alferes,18
2010,Petrópolis,272
2011,Petrópolis,285
2012,Petrópolis,253
2013,Petrópolis,271
2014,Petrópolis,249
2015,Petrópolis,234
2016,Petrópolis,272
2017,Petrópolis,242
2018,Petrópolis,293
2019,Petrópolis,308
2020,Petrópolis,217
2021,Petrópolis,215
2022,Petrópolis,244
2023,Petrópolis,191
2024,Petrópolis,143
2010,Pinheiral,13
2011,Pinheiral,13
2012,Pinheiral,11
2013,Pinheiral,12
2014,Pinheiral,10
2015,Pinheiral,12
2016,Pinheiral,15
2017,Pinheiral,23
2018,Pinheiral,14
2019,Pinheiral,12
2020,Pinheiral,9
2021,Pinheiral,16
2022,Pinheiral,12
2023,Pinheiral,16
2024,Pinheiral,15
2010,Piraí,15
2011,Piraí,16
2012,Piraí,15
2013,Piraí,16
2014,Piraí,24
2015,Piraí,20
2016,Piraí,10
2017,Piraí,13
2018,Piraí,18
2019,Piraí,19
2020,Piraí,14
2021,Piraí,18
2022,Piraí,18
2023,Piraí,19
2024,Piraí,24
2010,Porciúncula,11
2011,Porciúncula,17
2012,Porciúncula,15
2013,Porciúncula,13
2014,Porciúncula,13
2015,Porciúncula,7
2016,Porciúncula,12
2017,Porciúncula,13
2018,Porciúncula,7
2019,Porciúncula,9
2020,Porciúncula,5
2021,Porciúncula,8
2022,Porciúncula,10
2023,Porciúncula,13
2024,Porciúncula,11
2010,Porto Real,8
2011,Porto Real,8
2012,Porto Real,10
2013,Porto Real,10
2014,Porto Real,11
2015,Porto Real,8
2016,Porto Real,13
2017,Porto Real,13
2018,Porto Real,3
2019,Porto Real,9
2020,Porto Real,10
2021,Porto Real,8
2022,Porto Real,10
2023,Porto Real,7
2024,Porto Real,9
2010,Quatis,6
2011,Quatis,10
2012,Quatis,8
2013,Quatis,4
2014,Quatis,10
2015,Quatis,10
2016,Quatis,6
2017,Quatis,4
2018,Quatis,7
2019,Quatis,4
2020,Quatis,5
2021,Quatis,5
2022,Quatis,12
2023,Quatis,6
2024,Quatis,5
2010,Queimados,74
2011,Queimados,63
2012,Queimados,73
2013,Queimados,86
2014,Queimados,67
2015,Queimados,53
2016,Queimados,97
2017,Queimados,79
2018,Queimados,86
2019,Queimados,57
2020,Queimados,69
2021,Queimados,89
2022,Queimados,81
2023,Queimados,81
2024,Queimados,91
2010,Quissamã,12
2011,Quissamã,8
2012,Quissamã,11
2013,Quissamã,9
2014,Quissamã,12
2015,Quissamã,6
2016,Quissamã,16
2017,Quissamã,17
2018,Quissamã,11
2019,Quissamã,15
2020,Quissamã,10
2021,Quissamã,14
2022,Quissamã,12
2023,Quissamã,11
2024,Quissamã,16
2010,Resende,71
2011,Resende,80
2012,Resende,71
2013,Resende,67
2014,Resende,62
2015,Resende,57
2016,Resende,64
2017,Resende,68
2018,Resende,74
2019,Resende,70
2020,Resende,73
2021,Resende,59
2022,Resende,61
2023,Resende,82
2024,Resende,66
2010,Rio Bonito,31
2011,Rio Bonito,36
2012,Rio Bonito,38
2013,Rio Bonito,50
2014,Rio Bonito,31
2015,Rio Bonito,47
2016,Rio Bonito,50
2017,Rio Bonito,37
2018,Rio Bonito,33
2019,Rio Bonito,30
2020,Rio Bonito,36
2021,Rio Bonito,33
2022,Rio Bonito,30
2023,Rio Bonito,39
2024,Rio Bonito,35
2010,Rio Claro,7
2011,Rio Claro,10
2012,Rio Claro,11
2013,Rio Claro,11
2014,Rio Claro,9
2015,Rio Claro,15
2016,Rio Claro,9
2017,Rio Claro,14
2018,Rio Claro,8
2019,Rio Claro,9
2020,Rio Claro,8
2021,Rio Claro,7
2022,Rio Claro,14
2023,Rio Claro,9
2024,Rio Claro,15
2010,Rio das Flores,5
2011,Rio das Flores,4
2012,Rio das Flores,5
2013,Rio das Flores,3
2014,Rio das Flores,7
2015,Rio das Flores,6
2016,Rio das Flores,5
2017,Rio das Flores,6
2018,Rio das Flores,6
2019,Rio das Flores,2
2020,Rio das Flores,2
2021,Rio das Flores,8
2022,Rio das Flores,5
2023,Rio das Flores,3
2024,Rio das Flores,6
2010,Rio das Ostras,49
2011,Rio das Ostras,45
2012,Rio das Ostras,47
2013,Rio das Ostras,43
2014,Rio das Ostras,47
2015,Rio das Ostras,53
2016,Rio das Ostras,42
2017,Rio das Ostras,46
2018,Rio das Ostras,44
2019,Rio das Ostras,50
2020,Rio das Ostras,56
2021,Rio das Ostras,61
2022,Rio das Ostras,63
2023,Rio das Ostras,60
2024,Rio das Ostras,66
2010,Rio de Janeiro,4383
2011,Rio de Janeiro,4132
2012,Rio de Janeiro,4078
2013,Rio de Janeiro,3927
2014,Rio de Janeiro,3866
2015,Rio de Janeiro,3686
2016,Rio de Janeiro,3900
2017,Rio de Janeiro,3692
2018,Rio de Janeiro,3577
2019,Rio de Janeiro,3729
2020,Rio de Janeiro,3505
2021,Rio de Janeiro,3967
2022,Rio de Janeiro,3795
2023,Rio de Janeiro,3841
2024,Rio de Janeiro,3997
2010,Santa Maria Madalena,5
2011,Santa Maria Madalena,10
2012,Santa Maria Madalena,5
2013,Santa Maria Madalena,7
2014,Santa Maria Madalena,10
2015,Santa Maria Madalena,4
2016,Santa Maria Madalena,8
2017,Santa Maria Madalena,11
2018,Santa Maria Madalena,7
2019,Santa Maria Madalena,5
2020,Santa Maria Madalena,8
2021,Santa Maria Madalena,3
2022,Santa Maria Madalena,6
2023,Santa Maria Madalena,11
2024,Santa Maria Madalena,8
2010,Santo Antônio de Pádua,35
2011,Santo Antônio de Pádua,25
2012,Santo Antônio de Pádua,32
2013,Santo Antônio de Pádua,35
2014,Santo Antônio de Pádua,36
2015,Santo Antônio de Pádua,31
2016,Santo Antônio de Pádua,39
2017,Santo Antônio de Pádua,32
2018,Santo Antônio de Pádua,19
2019,Santo Antônio de Pádua,25
2020,Santo Antônio de Pádua,26
2021,Santo Antônio de Pádua,16
2022,Santo Antônio de Pádua,20
2023,Santo Antônio de Pádua,29
2024,Santo Antônio de Pádua,20
2010,São Fidélis,37
2011,São Fidélis,22
2012,São Fidélis,18
2013,São Fidélis,26
2014,São Fidélis,20
2015,São Fidélis,22
2016,São Fidélis,27
2017,São Fidélis,21
2018,São Fidélis,23
2019,São Fidélis,13
2020,São Fidélis,21
2021,São Fidélis,21
2022,São Fidélis,18
2023,São Fidélis,28
2024,São Fidélis,23
2010,São Francisco de Itabapoana,28
2011,São Francisco de Itabapoana,23
2012,São Francisco de Itabapoana,24
2013,São Francisco de Itabapoana,17
2014,São Francisco de Itabapoana,24
2015,São Francisco de Itabapoana,15
2016,São Francisco de Itabapoana,21
2017,São Francisco de Itabapoana,13
2018,São Francisco de Itabapoana,16
2019,São Francisco de Itabapoana,31
2020,São Francisco de Itabapoana,16
2021,São Francisco de Itabapoana,23
2022,São Francisco de Itabapoana,23
